0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(04)视觉大数据与类脑计算,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(05)多媒体处理器设计,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(06)视音频信息处理与网络,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(07)语言计算与大数据分析,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(08)计算机图形学与虚拟现实技术,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(09)网络信息安全与保障,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(10)多媒体智能计算与机器学习,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(11)数据库技术及应用,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(12)计算机网络及应用,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(13)计算机图形学与数据可视化,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(084)前沿交叉学科研究院,(0812J3)数据科学,(01)计算机科学与技术,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：2(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(01)数据挖掘与知识发现,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(02)数字图书馆与多媒体技术,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(03)计算智能与机器学习,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(04)计算机视觉与图像处理,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(05)机器学习与模式识别,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(06)计算机图形学，虚拟现实与人机交互,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(07)可视化与可视分析,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
0,北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(08)听感知机理与计算模型,全日制,"<scriptlanguage=""javascript"">document.write(cutString('一级学科：15(不含推免)',6));</script>"
