大学,考试方式,学院,专业,研究方向,网址
厦门大学,统考,(131)计算机科学系,(085211)(专业学位)计算机技术,(14)生物计算与计算生物,"<ahref=""/zsml/kskm.jsp?id=1038421131085211141""target=""_blank"">查看</a>"
厦门大学,统考,(135)智能科学与技术系,(085211)(专业学位)计算机技术,(15)智能家居,"<ahref=""/zsml/kskm.jsp?id=1038421135085211151""target=""_blank"">查看</a>"
厦门大学,统考,(135)智能科学与技术系,(085211)(专业学位)计算机技术,(16)模式识别与智能系统,"<ahref=""/zsml/kskm.jsp?id=1038421135085211161""target=""_blank"">查看</a>"
厦门大学,统考,(135)智能科学与技术系,(085211)(专业学位)计算机技术,(17)网络信息安全,"<ahref=""/zsml/kskm.jsp?id=1038421135085211171""target=""_blank"">查看</a>"
厦门大学,统考,(135)智能科学与技术系,(085211)(专业学位)计算机技术,(18)自然语言处理,"<ahref=""/zsml/kskm.jsp?id=1038421135085211181""target=""_blank"">查看</a>"
厦门大学,统考,(135)智能科学与技术系,(085211)(专业学位)计算机技术,(19)仿脑智能机器人,"<ahref=""/zsml/kskm.jsp?id=1038421135085211191""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085212)(专业学位)软件工程,(01)软件测试,"<ahref=""/zsml/kskm.jsp?id=1038621003085212011""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085212)(专业学位)软件工程,(02)网络信息系统,"<ahref=""/zsml/kskm.jsp?id=1038621003085212021""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085212)(专业学位)软件工程,(03)软件建模技术,"<ahref=""/zsml/kskm.jsp?id=1038621003085212031""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085212)(专业学位)软件工程,(04)软件系统分析与设计,"<ahref=""/zsml/kskm.jsp?id=1038621003085212041""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085212)(专业学位)软件工程,(05)软件项目管理,"<ahref=""/zsml/kskm.jsp?id=1038621003085212051""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085212)(专业学位)软件工程,(06)软件质量,"<ahref=""/zsml/kskm.jsp?id=1038621003085212061""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085211)(专业学位)计算机技术,(01)计算智能及其应用,"<ahref=""/zsml/kskm.jsp?id=1038621003085211011""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085211)(专业学位)计算机技术,(02)云计算与大数据技术,"<ahref=""/zsml/kskm.jsp?id=1038621003085211021""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085211)(专业学位)计算机技术,(03)网络与信息安全技术,"<ahref=""/zsml/kskm.jsp?id=1038621003085211031""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085211)(专业学位)计算机技术,(04)嵌入式系统,"<ahref=""/zsml/kskm.jsp?id=1038621003085211041""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085211)(专业学位)计算机技术,(05)多媒体技术,"<ahref=""/zsml/kskm.jsp?id=1038621003085211051""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085211)(专业学位)计算机技术,(06)软件开发技术,"<ahref=""/zsml/kskm.jsp?id=1038621003085211061""target=""_blank"">查看</a>"
福州大学,统考,(003)数学与计算机科学（软件）学院,(085211)(专业学位)计算机技术,(13)人工智能与应用,"<ahref=""/zsml/kskm.jsp?id=1038621003085211131""target=""_blank"">查看</a>"
南昌大学,统考,(010)信息工程学院,(085212)(专业学位)软件工程,(01)软件工程技术,"<ahref=""/zsml/kskm.jsp?id=1040321010085212011""target=""_blank"">查看</a>"
南昌大学,统考,(010)信息工程学院,(085212)(专业学位)软件工程,(02)计算机网络、网络空间与信息安全,"<ahref=""/zsml/kskm.jsp?id=1040321010085212021""target=""_blank"">查看</a>"
南昌大学,统考,(010)信息工程学院,(085212)(专业学位)软件工程,(03)高性能与云计算,"<ahref=""/zsml/kskm.jsp?id=1040321010085212031""target=""_blank"">查看</a>"
南昌大学,统考,(017)软件学院,(085212)(专业学位)软件工程,(01)软件开发及过程管理,"<ahref=""/zsml/kskm.jsp?id=1040321017085212011""target=""_blank"">查看</a>"
南昌大学,统考,(017)软件学院,(085212)(专业学位)软件工程,(02)人工智能及其应用,"<ahref=""/zsml/kskm.jsp?id=1040321017085212021""target=""_blank"">查看</a>"
南昌大学,统考,(017)软件学院,(085212)(专业学位)软件工程,(03)计算机网络,"<ahref=""/zsml/kskm.jsp?id=1040321017085212031""target=""_blank"">查看</a>"
南昌大学,统考,(017)软件学院,(085212)(专业学位)软件工程,(04)网络空间与信息安全,"<ahref=""/zsml/kskm.jsp?id=1040321017085212041""target=""_blank"">查看</a>"
南昌大学,统考,(010)信息工程学院,(085211)(专业学位)计算机技术,(01)计算机网络技术,"<ahref=""/zsml/kskm.jsp?id=1040321010085211011""target=""_blank"">查看</a>"
南昌大学,统考,(010)信息工程学院,(085211)(专业学位)计算机技术,(02)计算机软件技术,"<ahref=""/zsml/kskm.jsp?id=1040321010085211021""target=""_blank"">查看</a>"
南昌大学,统考,(010)信息工程学院,(085211)(专业学位)计算机技术,(03)计算机应用技术,"<ahref=""/zsml/kskm.jsp?id=1040321010085211031""target=""_blank"">查看</a>"
南昌大学,统考,(010)信息工程学院,(085211)(专业学位)计算机技术,(04)信息安全技术,"<ahref=""/zsml/kskm.jsp?id=1040321010085211041""target=""_blank"">查看</a>"
山东大学,统考,(048)软件学院,(085212)(专业学位)软件工程,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1042221048085212011""target=""_blank"">查看</a>"
山东大学,单考,(048)软件学院,(085212)(专业学位)软件工程,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1042223048085212011""target=""_blank"">查看</a>"
山东大学,统考,(047)计算机科学与技术学院,(085211)(专业学位)计算机技术,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1042221047085211011""target=""_blank"">查看</a>"
山东大学,统考,(090)山东大学（威海）,(085211)(专业学位)计算机技术,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1042221090085211011""target=""_blank"">查看</a>"
山东大学,单考,(047)计算机科学与技术学院,(085211)(专业学位)计算机技术,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1042223047085211011""target=""_blank"">查看</a>"
中国海洋大学,统考,(002)信息科学与工程学院,(085212)(专业学位)软件工程,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1042321002085212001""target=""_blank"">查看</a>"
中国海洋大学,统考,(002)信息科学与工程学院,(085211)(专业学位)计算机技术,(01)计算机应用技术方向,"<ahref=""/zsml/kskm.jsp?id=1042321002085211011""target=""_blank"">查看</a>"
中国海洋大学,统考,(002)信息科学与工程学院,(085211)(专业学位)计算机技术,(02)国家保密学院保密与信息安全方向,"<ahref=""/zsml/kskm.jsp?id=1042321002085211021""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085212)(专业学位)软件工程,(01)软件项目管理,"<ahref=""/zsml/kskm.jsp?id=1042521007085212011""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085212)(专业学位)软件工程,(02)软件开发技术,"<ahref=""/zsml/kskm.jsp?id=1042521007085212021""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085212)(专业学位)软件工程,(03)数字媒体与信息处理,"<ahref=""/zsml/kskm.jsp?id=1042521007085212031""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085212)(专业学位)软件工程,(04)嵌入式系统开发技术,"<ahref=""/zsml/kskm.jsp?id=1042521007085212041""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085211)(专业学位)计算机技术,(01)人工智能及其应用,"<ahref=""/zsml/kskm.jsp?id=1042521007085211011""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085211)(专业学位)计算机技术,(02)图形与图像处理,"<ahref=""/zsml/kskm.jsp?id=1042521007085211021""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085211)(专业学位)计算机技术,(03)计算机网络与应用,"<ahref=""/zsml/kskm.jsp?id=1042521007085211031""target=""_blank"">查看</a>"
中国石油大学(华东),统考,(007)计算机与通信工程学院,(085211)(专业学位)计算机技术,(04)数据库与信息系统,"<ahref=""/zsml/kskm.jsp?id=1042521007085211041""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(01)智能化软件开发技术与应用（研究所3）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212011""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(02)软件服务与应用（研究所3）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212021""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(03)云计算平台及移动平台软件开发技术（研究所3）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212031""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(04)多媒体软件开发技术（研究所3）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212041""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(05)高性能计算（并行计算）（研究所8）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212051""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(06)高性能地理计算与城市仿真（研究所8),"<ahref=""/zsml/kskm.jsp?id=1045921036085212061""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(10)云计算系统关键技术（研究所7）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212101""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(11)可信云与信息安全工程（研究所7）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212111""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(12)人工智能与超级计算（研究所8）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212121""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085212)(专业学位)软件工程,(13)人工智能新技术（研究所5）,"<ahref=""/zsml/kskm.jsp?id=1045921036085212131""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(01)智能信息处理（研究所4）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211011""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(02)机器学习与数据挖掘（研究所4),"<ahref=""/zsml/kskm.jsp?id=1045921036085211021""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(03)信息安全（研究所4),"<ahref=""/zsml/kskm.jsp?id=1045921036085211031""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(04)下一代互联网技术与应用（研究所4）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211041""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(05)中文信息处理技术（研究所4）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211051""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(06)图形学与科学可视化/机器视觉/数字媒体技术（研究所5）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211061""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(10)医疗与健康云平台（研究所16）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211101""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(11)医疗大数据分析（研究所16）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211111""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(12)移动医疗（研究所16）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211121""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(13)(联合培养单位安阳师院)自然语言处理（研究所4）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211131""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(14)(联合培养单位安阳师院)数据挖掘与机器学习（研究所4）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211141""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(15)智能感知与智能系统（研究所15）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211151""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(16)人工智能与视觉计算（研究所15）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211161""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(17)工业互联网与机器智能（研究所17）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211171""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(18)图形与视觉计算（河南先进技术研究院）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211181""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(19)先进计算（中原网络安全研究院）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211191""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(20)网络体系结构（中原网络安全研究院）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211201""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(21)网络及信息安全（中原网络安全研究院）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211211""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(22)嵌入式技术与系统分析（中原网络安全研究院）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211221""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(23)网络工程（中原网络安全研究院）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211231""target=""_blank"">查看</a>"
郑州大学,统考,(036)产业技术研究院,(085211)(专业学位)计算机技术,(24)海量数据处理（中原网络安全研究院）,"<ahref=""/zsml/kskm.jsp?id=1045921036085211241""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085212)(专业学位)软件工程,(01)软件工程,"<ahref=""/zsml/kskm.jsp?id=1048621211085212011""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085212)(专业学位)软件工程,(02)人工智能,"<ahref=""/zsml/kskm.jsp?id=1048621211085212021""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085212)(专业学位)软件工程,(03)大数据,"<ahref=""/zsml/kskm.jsp?id=1048621211085212031""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(01)计算机图形图像处理,"<ahref=""/zsml/kskm.jsp?id=1048621211085211011""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(02)知识工程,"<ahref=""/zsml/kskm.jsp?id=1048621211085211021""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(03)生物信息,"<ahref=""/zsml/kskm.jsp?id=1048621211085211031""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(04)自然语言处理技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211041""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(05)仿真与决策技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211051""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(06)计算机辅助技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211061""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(07)多媒体技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211071""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(08)协同计算技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211081""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(09)物联网技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211091""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(10)无线网络技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211101""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(11)全光网络技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211111""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(12)网络编码技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211121""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(13)网络工程,"<ahref=""/zsml/kskm.jsp?id=1048621211085211131""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(14)可信数据管理,"<ahref=""/zsml/kskm.jsp?id=1048621211085211141""target=""_blank"">查看</a>"
武汉大学,统考,(211)计算机学院,(085211)(专业学位)计算机技术,(15)信息安全应用技术,"<ahref=""/zsml/kskm.jsp?id=1048621211085211151""target=""_blank"">查看</a>"
武汉大学,统考,(619)测绘遥感信息工程国家重点实验室,(085211)(专业学位)计算机技术,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1048621619085211011""target=""_blank"">查看</a>"
华中科技大学,统考,(182)光学与电子信息学院,(085212)(专业学位)软件工程,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1048721182085212001""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(01)软件工程理论与方法,"<ahref=""/zsml/kskm.jsp?id=1048721440085212011""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(02)软件质量工程与技术,"<ahref=""/zsml/kskm.jsp?id=1048721440085212021""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(03)现代数据工程,"<ahref=""/zsml/kskm.jsp?id=1048721440085212031""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(04)智能计算技术与应用,"<ahref=""/zsml/kskm.jsp?id=1048721440085212041""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(05)数字媒体技术,"<ahref=""/zsml/kskm.jsp?id=1048721440085212051""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(06)网络与信息安全技术,"<ahref=""/zsml/kskm.jsp?id=1048721440085212061""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(07)嵌入式系统与应用,"<ahref=""/zsml/kskm.jsp?id=1048721440085212071""target=""_blank"">查看</a>"
华中科技大学,统考,(440)软件学院,(085212)(专业学位)软件工程,(08)数字化技术与领域工程,"<ahref=""/zsml/kskm.jsp?id=1048721440085212081""target=""_blank"">查看</a>"
华中科技大学,统考,(187)武汉光电国家研究中心,(085211)(专业学位)计算机技术,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1048721187085211001""target=""_blank"">查看</a>"
华中科技大学,统考,(210)计算机科学与技术学院,(085211)(专业学位)计算机技术,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1048721210085211001""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(201)地理与信息工程学院,(085212)(专业学位)软件工程,(01)地理信息系统软件工程,"<ahref=""/zsml/kskm.jsp?id=1049121201085212011""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(201)地理与信息工程学院,(085212)(专业学位)软件工程,(02)时空大数据与数据挖掘,"<ahref=""/zsml/kskm.jsp?id=1049121201085212021""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(201)地理与信息工程学院,(085212)(专业学位)软件工程,(03)智能与服务机器人,"<ahref=""/zsml/kskm.jsp?id=1049121201085212031""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(201)地理与信息工程学院,(085212)(专业学位)软件工程,(04)移动与普适计算软件,"<ahref=""/zsml/kskm.jsp?id=1049121201085212041""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(201)地理与信息工程学院,(085212)(专业学位)软件工程,(05)空间信息应用与服务软件开发,"<ahref=""/zsml/kskm.jsp?id=1049121201085212051""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(605)国家地理信息系统工程技术研究中心,(085212)(专业学位)软件工程,(01)地理信息系统软件工程,"<ahref=""/zsml/kskm.jsp?id=1049121605085212011""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(605)国家地理信息系统工程技术研究中心,(085212)(专业学位)软件工程,(02)时空大数据与数据挖掘,"<ahref=""/zsml/kskm.jsp?id=1049121605085212021""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(605)国家地理信息系统工程技术研究中心,(085212)(专业学位)软件工程,(03)智能与服务机器人,"<ahref=""/zsml/kskm.jsp?id=1049121605085212031""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(605)国家地理信息系统工程技术研究中心,(085212)(专业学位)软件工程,(04)移动与普适计算软件,"<ahref=""/zsml/kskm.jsp?id=1049121605085212041""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(605)国家地理信息系统工程技术研究中心,(085212)(专业学位)软件工程,(05)空间信息应用与服务软件开发,"<ahref=""/zsml/kskm.jsp?id=1049121605085212051""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(203)计算机学院,(085211)(专业学位)计算机技术,(01)大数据智能计算与数据挖掘技术,"<ahref=""/zsml/kskm.jsp?id=1049121203085211011""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(203)计算机学院,(085211)(专业学位)计算机技术,(02)高性能计算及地学应用,"<ahref=""/zsml/kskm.jsp?id=1049121203085211021""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(203)计算机学院,(085211)(专业学位)计算机技术,(03)软件工程与系统集成,"<ahref=""/zsml/kskm.jsp?id=1049121203085211031""target=""_blank"">查看</a>"
中国地质大学(武汉),统考,(203)计算机学院,(085211)(专业学位)计算机技术,(04)计算机网络与信息安全技术及应用,"<ahref=""/zsml/kskm.jsp?id=1049121203085211041""target=""_blank"">查看</a>"
武汉理工大学,统考,(010)计算机科学与技术学院,(085212)(专业学位)软件工程,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1049721010085212011""target=""_blank"">查看</a>"
武汉理工大学,统考,(024)威尔士三一圣大卫大学武汉理工学院,(085212)(专业学位)软件工程,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1049721024085212011""target=""_blank"">查看</a>"
武汉理工大学,统考,(010)计算机科学与技术学院,(085211)(专业学位)计算机技术,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1049721010085211011""target=""_blank"">查看</a>"
武汉理工大学,统考,(024)威尔士三一圣大卫大学武汉理工学院,(085211)(专业学位)计算机技术,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1049721024085211011""target=""_blank"">查看</a>"
华中师范大学,统考,(021)计算机学院,(085212)(专业学位)软件工程,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1051121021085212001""target=""_blank"">查看</a>"
华中师范大学,统考,(023)国家数字化学习工程技术研究中心,(085212)(专业学位)软件工程,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1051121023085212001""target=""_blank"">查看</a>"
华中师范大学,统考,(038)教育大数据应用技术国家工程实验室,(085212)(专业学位)软件工程,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1051121038085212001""target=""_blank"">查看</a>"
华中师范大学,统考,(021)计算机学院,(085211)(专业学位)计算机技术,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1051121021085211001""target=""_blank"">查看</a>"
华中师范大学,统考,(037)伍伦贡联合研究院,(085211)(专业学位)计算机技术,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1051121037085211001""target=""_blank"">查看</a>"
中南财经政法大学,统考,(114)信息与安全工程学院,(085211)(专业学位)计算机技术,(00)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1052021114085211001""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085212)(专业学位)软件工程,(01)互联网与电子商务,"<ahref=""/zsml/kskm.jsp?id=1053221010085212011""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085212)(专业学位)软件工程,(02)信息化与电子政务,"<ahref=""/zsml/kskm.jsp?id=1053221010085212021""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085212)(专业学位)软件工程,(03)图形图像处理与数字媒体,"<ahref=""/zsml/kskm.jsp?id=1053221010085212031""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085212)(专业学位)软件工程,(04)软件工程技术,"<ahref=""/zsml/kskm.jsp?id=1053221010085212041""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085212)(专业学位)软件工程,(05)软件安全,"<ahref=""/zsml/kskm.jsp?id=1053221010085212051""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085211)(专业学位)计算机技术,(01)大数据与云计算技术,"<ahref=""/zsml/kskm.jsp?id=1053221010085211011""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085211)(专业学位)计算机技术,(02)嵌入式系统与物联网工程,"<ahref=""/zsml/kskm.jsp?id=1053221010085211021""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085211)(专业学位)计算机技术,(03)网络信息安全与保密管理,"<ahref=""/zsml/kskm.jsp?id=1053221010085211031""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085211)(专业学位)计算机技术,(04)集成电路设计与测试,"<ahref=""/zsml/kskm.jsp?id=1053221010085211041""target=""_blank"">查看</a>"
湖南大学,统考,(010)信息科学与工程学院,(085211)(专业学位)计算机技术,(05)计算机应用技术,"<ahref=""/zsml/kskm.jsp?id=1053221010085211051""target=""_blank"">查看</a>"
中南大学,统考,(047)软件学院,(085212)(专业学位)软件工程,(01)软件工程,"<ahref=""/zsml/kskm.jsp?id=1053321047085212011""target=""_blank"">查看</a>"
中南大学,统考,(046)信息科学与工程学院,(085211)(专业学位)计算机技术,(01)计算机技术,"<ahref=""/zsml/kskm.jsp?id=1053321046085211011""target=""_blank"">查看</a>"
湖南师范大学,统考,(029)信息科学与工程学院,(085212)(专业学位)软件工程,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1054221029085212011""target=""_blank"">查看</a>"
湖南师范大学,统考,(029)信息科学与工程学院,(085211)(专业学位)计算机技术,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1054221029085211011""target=""_blank"">查看</a>"
